Type,Display Name,App ID,Created,Owners,Max Severity,Findings
App Registration,Workflow,5e9ae6fd-74b5-4853-9020-51127a38f1ca,2025-10-02,Office 365 SharePoint Online,High,[Medium] Certificate expires in 87 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 29 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 16 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 9 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [Medium] Certificate expires in 81 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 27 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 11 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 25 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 25 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 24 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 23 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [Medium] Certificate expires in 52 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 23 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 22 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 17 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 22 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 23 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 26 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [Medium] Certificate expires in 45 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 23 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 23 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 23 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 23 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 23 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 23 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 16 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 23 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 23 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [Medium] Certificate expires in 52 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [Medium] Certificate expires in 47 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [Medium] Certificate expires in 38 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [Medium] Certificate expires in 45 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 23 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 24 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [Medium] Certificate expires in 47 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [Medium] Certificate expires in 46 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 23 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 23 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [Medium] Certificate expires in 53 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [Medium] Certificate expires in 51 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 23 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 23 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 17 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 26 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [Medium] Certificate expires in 52 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 25 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [Medium] Certificate expires in 48 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 23 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 17 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 22 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 3 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 4 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 1 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 4 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 4 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 3 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [High] Certificate expires in 4 days (44AD9762E731AAC3C1D18FE82BB8DB1C); [Medium] Active credentials but no recorded sign-in activity
App Registration,Customer Service Copilot Bot (Power Virtual Agents),37c92fc6-f906-4fcc-a47f-96bfcf967fdd,2024-04-22,Power Virtual Agents Service,Medium,[Medium] Multi-tenant sign-in audience: AzureADMultipleOrgs
App Registration,MCNA Financial Insights (Microsoft Copilot Studio),abca59e0-7254-48aa-b438-52fc65d865a1,2024-11-22,"Power Virtual Agents Service, MIS@nofmetalcoatings.us",Medium,[Medium] Multi-tenant sign-in audience: AzureADMultipleOrgs
App Registration,Portals-DaveLafferty,7b7c653e-e316-4340-8b1f-12195a1b1752,2025-05-25,MIS@nofmetalcoatings.us,Medium,"[Medium] Certificate expires in 34 days (CN=0370aa65-0649-455d-b7ed-11a3e457d75f); [Medium] Active credentials, last sign-in 239 days ago"
App Registration,Sales Copilot Power Virtual Agents Bot (Power Virtual Agents),16ed53c2-ca06-4a5c-ac61-6cfa686b6a64,2023-12-04,Power Virtual Agents Service,Medium,[Medium] Multi-tenant sign-in audience: AzureADMultipleOrgs
App Registration,Sales Copilot Power Virtual Agents Bot (Power Virtual Agents),7b0a3c4d-2a80-498c-928e-b2a6d4a63b56,2023-12-02,Power Virtual Agents Service,Medium,[Medium] Multi-tenant sign-in audience: AzureADMultipleOrgs
App Registration,SharePoint Online Client Extensibility Web Application Principal,ab8304e8-5239-4e95-abf9-bcc3d37fede4,2022-03-10,dlafferty@nofmetalcoatings.us,Medium,"[Medium] Active credentials, last sign-in 422 days ago"
Enterprise App,Adobe Acrobat,4e9b8b9a-1001-4017-8dd1-6e8f25e19d13,,,Low,[Low] Publisher unverified
Enterprise App,Adobe Identity Management (OIDC),6aba272b-e383-44cd-8eda-34c66dfd9546,,,Low,[Low] Publisher unverified
Enterprise App,Azure Media Service,803ee9ca-3f7f-4824-bd6e-0b99d720c35c,,,Low,[Low] Publisher unverified
Enterprise App,Backupify,d7db2a1c-c38b-4bd1-a30f-0915167ba928,,,Low,[Low] Publisher unverified
Enterprise App,Budget Tracker,ecd9221c-472f-4ad4-8d6d-4d89cf86107d,,,Low,[Low] Publisher unverified
Enterprise App,calendly,c2f89f53-3971-4e09-8656-18eed74aee10,,,Low,[Low] Publisher unverified
Enterprise App,CyberCNS-Multitenant,e7218f73-612e-48c2-8522-4559b56718ab,,,Low,[Low] Publisher unverified
Enterprise App,DROPBOX,61464454-fe14-4d25-9ee7-dc595547112c,,,Low,[Low] Publisher unverified
Enterprise App,FastTrack,ca4c34d6-ce70-4353-8568-ca59b64f2a63,,,Low,[Low] Publisher unverified
Enterprise App,Kanban Task Board,aa5fc4b7-fbe2-4613-927d-28674eed11c0,,,Low,[Low] Publisher unverified
Enterprise App,Microsoft Photos,0ec2d138-5a70-4a33-b2c7-7d296c996ace,,,Low,[Low] Publisher unverified
Enterprise App,Microsoft Tech Community,09213cdc-9f30-4e82-aa6f-9b6e8d82dab3,,,Low,[Low] Publisher unverified
Enterprise App,MSFT Power Platform - Azure AD,2bed6734-1911-40e6-ac44-00d79d70d2bc,,,Low,[Low] Publisher unverified
Enterprise App,MSFT Power Platform - Outlook Tasks,99da6bf4-4525-4bfa-b39f-b6a35789c240,,,Low,[Low] Publisher unverified
Enterprise App,MyFiles,d5e6af94-cdf0-4cf4-bc48-f9bfba16b189,,,Low,[Low] Publisher unverified
Enterprise App,O365 LinkedIn Connection,f569b9c7-be15-4e87-86f7-87d30d02090b,,,Low,[Low] Publisher unverified
Enterprise App,OneNote Web Clipper,9322f837-c8f8-4796-9aef-1677748fe553,,,Low,[Low] Publisher unverified
Enterprise App,PowerApps,a7c47198-405d-42a7-ad00-3a0df33e10ad,,,Low,[Low] Publisher unverified
Enterprise App,Suno,97267293-8481-4506-960a-9e6ae4c53099,,,Low,[Low] Publisher unverified
App Registration,Agent (Microsoft Copilot Studio),01d456f3-d29a-43d9-8ad5-79675739c060,2026-03-18,"Power Virtual Agents Service, MIS@nofmetalcoatings.us",Clean,
App Registration,Agent (Microsoft Copilot Studio),f6873aff-8b49-466d-933a-9789098b0ad5,2025-08-08,"Power Virtual Agents Service, MIS@nofmetalcoatings.us",Clean,
App Registration,Agent (Microsoft Copilot Studio),abf786bf-24a3-4577-9b1e-7039ae2371c5,2025-08-05,"Power Virtual Agents Service, dlafferty@nofmetalcoatings.us",Clean,
App Registration,Agent 1 (Microsoft Copilot Studio),403fb981-c1c1-4004-adfb-b3395a4f3648,2025-10-22,"Power Virtual Agents Service, dlafferty@nofmetalcoatings.us",Clean,
App Registration,AR Collections Agent (Microsoft Copilot Studio),cff7b57a-f56c-4835-b57d-6e6d968e66cf,2025-08-13,"Power Virtual Agents Service, MIS@nofmetalcoatings.us",Clean,
App Registration,CDR SDS Information Agent (Microsoft Copilot Studio),7cc9b6b4-bc44-4bab-bc52-19a295983676,2025-11-03,"Power Virtual Agents Service, MIS@nofmetalcoatings.us",Clean,
App Registration,Competitor Product Profiles (Microsoft Copilot Studio),f0d9e866-8248-43af-b541-ca5cc9d8b3cc,2025-09-03,"Power Virtual Agents Service, dlafferty@nofmetalcoatings.us",Clean,
App Registration,Corporate Intercept Agent (Microsoft Copilot Studio),5a3ad848-2123-4b69-a21a-d1f2a638a44f,2025-08-05,"Power Virtual Agents Service, dlafferty@nofmetalcoatings.us",Clean,
App Registration,MCNA Power Apps,ac405b14-f01e-4e12-a28e-872a072cefdd,2022-05-06,dlafferty@nofmetalcoatings.us,Clean,
App Registration,MCNA WiSys Agent (Microsoft Copilot Studio),40f00ddf-4dfa-4756-bd37-05c574b4be4e,2025-01-30,"Power Virtual Agents Service, dlafferty@nofmetalcoatings.us",Clean,
App Registration,NOF Corporate Email Watcher (Microsoft Copilot Studio),b6aeed19-be28-422e-b519-a9eac585dd9c,2025-08-05,"Power Virtual Agents Service, dlafferty@nofmetalcoatings.us",Clean,
App Registration,Price Approvals Assistant (Microsoft Copilot Studio),90543544-bb1f-4e2d-88cd-4268733a90e1,2025-01-29,"Power Virtual Agents Service, MIS@nofmetalcoatings.us",Clean,
App Registration,Products-test-agent (Microsoft Copilot Studio),a17114a2-aa95-4f61-a0b7-5f6d643ea17c,2025-02-17,"Power Virtual Agents Service, dlafferty@nofmetalcoatings.us",Clean,
App Registration,SDS Expert (Microsoft Copilot Studio),57b3a3eb-1d48-484b-8619-8e47a3ba4842,2025-10-22,"Power Virtual Agents Service, dlafferty@nofmetalcoatings.us",Clean,
App Registration,SharePoint Online Client Extensibility Web Application Principal Helper,b95a1cb7-8aad-42b0-b167-e5eb71623e22,2022-03-10,dlafferty@nofmetalcoatings.us,Clean,
